Tipo de Identificación,Fecha de Nacimiento,Tipo de sexo,Estrato Social,Cabeza de Familia,Posee alguna discapacidad,Población a la que pertenece,Grado de Escolaridad,Tipo de Formación artística,Sub area,Es su principal actividad,Año de inicio de actividad,Area en la que se desempeña,id_artista,Año registro,Municipio,Longitud,Latitud,Provincia,Hace parte de alguna organización,Empresa de pensión,Eps,regimen
Cedula de Ciudadanía,1964,Masculino,1,Si,No,Ninguno,Técnica,Cursos,Artista Creador,SI,1975,Música,c97caf7c-82dc-450e-a10e-8444b1e35ea7,2021,Tunja,"-73,355539","5,53988",Centro,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1970,Femenino,2,Si,No,Ninguno,Tecnológica,Autodidacta,Artista Creador,NO,2017,Gestor Cultural,419e60eb-0a78-4113-b22f-e88867e076ce,2021,Boyacá,"-73,361945","5,454578",Márquez,Sí,Sin pensión,Famisanar,Contributivo
Cedula de Ciudadanía,2000,Masculino,2,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2020,Artes plásticas,49ef6941-4063-4e96-bf94-44190b398c3e,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Sanitas,Contributivo
Cedula de Ciudadanía,1989,Masculino,2,No,No,Ninguno,Técnica,"Talleres, Cursos, Clases particulares",Artista Creador,SI,2010,Artes plásticas,0a97f8e9-f52b-4d40-9d10-0b727f709bc3,2021,Tunja,"-73,355539","5,53988",Centro,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1968,Masculino,2,Si,No,Ninguno,Universitaria,Universidad,Empresario Cultural,SI,1994,Artes plásticas,75cc03d0-7576-4914-80a4-278d36050a0e,2021,Tunja,"-73,355539","5,53988",Centro,No,Porvenir,Medimás,Contributivo
Cedula de Ciudadanía,1964,Masculino,2,Si,No,Ninguno,Secundaria,Autodidacta,Artista Creador,SI,1987,Artes plásticas,bb71a747-29ae-48c3-b685-a0938903a04d,2021,Duitama,"-73,03063","5,822964",Tundama,No,Sin pensión,Nueva EPS,Contributivo
Cedula de Ciudadanía,1952,Masculino,4,Si,No,Mestizos,Magister,Cursos,Artista Creador,SI,2018,Artes plásticas,3f237e82-e5fe-4d11-9b3c-75cf9c2cc09c,2021,Duitama,"-73,03063","5,822964",Tundama,No,FOPEP,Famisanar,Contributivo
Cedula de Ciudadanía,1975,Femenino,2,No,No,Ninguno,Magister,Universidad,Empresario Cultural,SI,2001,Literatura,c8721ae4-6245-44e3-a192-681967c3afc2,2021,Ráquira,"-73,632543","5,539136",Ricaurte,Sí,Protección,Compensar,Contributivo
Cedula de Ciudadanía,1999,Femenino,3,No,No,Ninguno,Universitaria,"Autodidacta, Talleres, Cursos, Universidad",Artista Creador,SI,2018,Artes plásticas,3c35348e-9640-4590-98f1-243aa795ee97,2021,Tunja,"-73,355539","5,53988",Centro,No,Otro,Sanitas,Contributivo
Cedula de Ciudadanía,2021,Masculino,2,No,No,Ninguno,Universitaria,Universidad,Artista Creador,SI,2017,Artes plásticas,9b86fb55-8035-49c9-b500-2ad28cdc63c8,2021,Tunja,"-73,355539","5,53988",Centro,No,Sin pensión,Otra / No clasificada,Contributivo
